District,Latitude,Longitude,Shop_type,OP_time,Ultra_food,Per_ultra,Ready_food,CERE,WHITE,VITAMINV,VITAMINRT,DARKV,OTHERV,VITAMINF,OTHERF,ORGANM,FLESHM,FISH,INSECTSV,EGGS,MILK,NUTS,LEGUM,OILF,SWEETS,SAB,OUT_CER
2,21.024044,105.839699,7,4,1,10,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0
2,21.012976,105.835964,7,4,1,10,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0
2,21.017817,105.831265,7,4,1,10,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0
2,21.022314,105.822131,7,4,1,10,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0
2,21.007448,105.820038,7,4,1,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2,21.018421,105.833557,7,4,1,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,21.04362,105.841732,6,4,1,20,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0
2,21.017503,105.838863,6,4,1,20,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
2,21.02674,105.831226,7,4,1,20,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
1,21.028491,105.814007,7,4,1,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,21.021702,105.81293,7,4,1,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,21.03273,105.81,7,4,1,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,21.034393,105.82713,5,2,1,30,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0
1,21.028785,105.823929,5,2,1,30,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,0
2,21.026685,105.83921,6,4,1,30,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0
1,21.023185,105.819828,6,4,1,30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,21.047851,105.84405,7,4,1,30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,21.033244,105.831376,7,4,1,30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2,21.027579,105.828061,7,4,1,30,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
2,21.006004,105.831987,1,1,1,40,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,21.010281,105.836772,2,3,1,40,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1
2,21.015956,105.808389,2,3,1,40,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
2,21.007548,105.835235,2,4,1,40,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
2,21.026786,105.839954,4,4,1,40,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0
1,21.035502,105.823344,4,4,1,40,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0
2,21.02147,105.839291,3,1,1,50,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
2,21.005586,105.82314,1,3,1,50,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
1,21.031643,105.812434,1,3,1,50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2,21.027022,105.832874,4,3,1,50,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0
2,21.009879,105.816807,4,3,1,50,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0
1,21.029603,105.817535,2,4,1,50,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
1,21.033417,105.831301,6,4,1,50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2,21.007234,105.821194,8,4,1,50,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
2,21.020169,105.821607,3,2,1,60,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
2,21.005367,105.825,3,3,1,60,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1
1,21.027774,105.809451,3,3,1,60,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0
2,21.022887,105.809677,1,4,1,60,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
1,21.02607,105.822588,2,4,1,60,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
2,21.019713,105.837556,4,4,1,60,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0
2,21.005908,105.834151,4,4,1,60,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,0,1,0
